sigla|iata|nombre|municipio|departamento|categoria|latitud|longitud|propietario|explotador|longitud_pista|ancho_pista|pbmo|orientacion|elevacion|resolucion|fecha_construccion|fecha_vigencia|clase|tipo|numero_vuelos_origen|gcd_departamento|gcd_municipio
MTI||TIQUIE|Mitú|Vaupés|Aeródromo|0.2342|-70.1689|RESGUARDO INDIGENA|GOBERNACION DEL VAUPES|530|15|5000||630| 3423,000|||1A|Público|2099|97|97001
MTN||BUENOS AIRES|Mitú|Vaupés|Aeródromo|0.0203|-71.0074|RESGUARDO INDIGENA|GOBERNACION DEL VAUPES|400|10|1650||620|   45,000|||1A|Público|1142|97|97001
MTP||MATUPA|San Martín|Meta|Aeródromo|||||||||||||||1565|50|50689
MTR|MTR|LOS GARZONES|Montería|Córdoba|Nacional|8.8239|-75.8261|AEROCIVIL|EN CONCESION-SOACN(Sociedad Operadora de Aeropuertos Centro Norte|1860|35|||19|  984,000|1987-02-02||4C|Aerocivil|70624|23|23001
MTS||TERESITA|Mitú|Vaupés|Aeródromo|0.7381|-69.4714|RESGUARDO INDIGENA|GOBERNACION DEL VAUPES|630|20|12202||620| 3423,000|||1A|Público|670|97|97001
MTT||CACHIPORRO|Mitú|Vaupés|Aeródromo|||||||||||||||188|97|97001
MTU||MATUPA|San Martín|Meta|Aeródromo|||||||||||||||1565|50|50689
MUR||TAPURUCUARA|Mitú|Vaupés|Aeródromo|1.4717|-70.1631|RESGUARDO INDIGENA|GOBERNACION DEL VAUPES|450|15|2700||880| 3423,000|||1A|Público|2123|97|97001
MUT||ATAHUALPA|Mutatá|Antioquia|Aeródromo|||||||||||||||7| 5| 5480
MUZ||MUZO|Muzo|Boyacá|Aeródromo|5.5472|-74.1128|MUNICIPIO|MUNICIPIO|800|16|6400||2952||||1A|Público||15|15480
MVA||VILLA GLADYS|Mitú|Vaupés|Aeródromo|0.2607|-71.3566|RESGUARDO INDIGENA|GOBERNACION DEL VAUPES|950|15|12202||493|   45,000|||1A|Público|237|97|97001
MVI||VILLA FATIMA|Mitú|Vaupés|Aeródromo|0.9744|-69.9569|RESGUARDO INDIGENA|GOBERNACION DEL VAUPES|510|10|1650||680| 3423,000|||1A|Público|411|97|97001
MVN||VILLA NUEVA|Mitú|Vaupés|Aeródromo|0.2732|-70.4491|RESGUARDO INDIGENA|GOBERNACION DEL VAUPES|375|12|1650||590|   45,000|||1A|Público|33|97|97001
MVP|MVP|FABIO A. LEON BENTLEY|Mitú|Vaupés|Regional|1.2535|-70.2341|MUNICIPIO|AEROCIVIL|1880|30|||680|   34,000|1958-02-19||3C|Aerocivil|35858|97|97001
MVU||LOS ANGELES|Mitú|Vaupés|Aeródromo|0.5767|-70.13|RESGUARDO INDIGENA|GOBERNACION DEL VAUPES|390|10|1650||640|   45,000|||1A|Público|256|97|97001
MWA||WAINAMBI|Mitú|Vaupés|Aeródromo|0.8667|-69.6172|RESGUARDO INDIGENA|GOBERNACION DEL VAUPES|360|10|1650||650| 3423,000|||1A|Público|181|97|97001
MWY||WASAY|Mitú|Vaupés|Aeródromo|1.6608|-70.0194|RESGUARDO INDIGENA|GOBERNACION DEL VAUPES|390|15|1650||700| 3423,000|||1A|Público|78|97|97001
MYA||YAPU|Mitú|Vaupés|Aeródromo|0.6217|-70.3517|RESGUARDO INDIGENA|GOBERNACION DEL VAUPES|540|20|5000||600| 3423,000|||1A|Público|2067|97|97001
MYY|VAB|YAVARATE|Mitú|Vaupés|Aeródromo|0.6117|-69.2072|RESGUARDO INDIGENA|GOBERNACION DEL VAUPES|490|15|1650||400| 3423,000|||1A|Público|585|97|97001
MZL|MZL|LA NUBIA|Manizales|Caldas|Nacional|5.0298|-75.4667|FODECAL|FODECAL|1000|15|15876||6866|  623,000|||2A|Público|38890|17|17001
NAR||PUERTO NARE|Puerto Nare|Antioquia|Aeródromo|6.2102|-74.5902|CEMENTOS ARGOS S.A.|CEMENTOS ARGOS S.A.|1000|20|9000||130| 4504,000||2015-09-12|2B|Privado|1298| 5| 5585
NAT||SAN GERMAN|Natagaima|Tolima|Aeródromo|||||||||||||||50|73|73483
NCC||LA REFORMA|Nunchía|Casanare|Aeródromo|5.4293|-72.163|JUAN BERNARDO SERRANO A.|JUAN B. SERRANO ARDILA|700|10|2000||308|  471,000||2016-04-09|1A|Fumigación|1|85|85225
NCI|NCI|NECOCLI|Necoclí|Antioquia|Aeródromo|8.45|-76.7833|MUNICIPIO|MUNICIPIO|833|15|5680||60| 5917,000|||1B|Público|979| 5| 5490
NFA||NUEVA FORTUNA|Necoclí|Antioquia|Aeródromo|8.6167|-76.6667|MUNICIPIO|MUNICIPIO|300|10|1300||550| 2989,000|||1A|Público|5| 5| 5490
NIA||LA NEVERA|Nunchía|Casanare|Aeródromo|5.5128|-72.1314|MAURICIO OLMOS|AGILL S.A.S.|800|10|3000||3100| 5053,000||2017-10-07|1A|Fumigación|1|85|85225
NQU|NQU|REYES MURILLO|Nuquí|Chocó|Regional|5.712|-77.2627|AEROCIVIL|AEROCIVIL|930|10|||13|    2,279|1975-08-21||1A|Aerocivil|13940|27|27495
NUA||LA CEIBA|Nunchía|Casanare|Aeródromo|5.4468|-72.0059|ISMENIA CARREÑO MARTINEZ|FUMIVILLA LTDA|900|10|3000||656| 2497,000|||1A|Fumigación||85|85225
NUC||LA FLORA|San Luis de Palenque|Casanare|Aeródromo|5.2097|-71.8106|GERARDO ZAMBRANO GUIO|PERENCO COLOMBIA LIMITED|640|15|12202||539|  933,000|||1A|Privado|1735|85|85325
NUE||NUEVO MUNDO|Trinidad|Casanare|Aeródromo|5.5318|-71.8239|INPROARROZ LTDA|SAO E.U.|800|10|2000||574|  703,000|||1A|Fumigación||85|85430
NUH||NUNCHIA LOS LIBERTADORES|Nunchía|Casanare|Aeródromo|||||||||||||||7|85|85225
NUN||EL DESECHO|Nunchía|Casanare|Aeródromo|5.6194|-72.0639|MIREYA MARTIN HUERTAS|EL MISMO|950|14|2000||820| 6057,000|||1A|Fumigación|1|85|85225
NUT||PALMAROSA|Nunchía|Casanare|Aeródromo|5.5663|-72.0669|FLORENCIO VARGAS PATIÑO|FIBA S.A.|800|10|2000||744| 1943,000||2016-05-09|1A|Fumigación||85|85225
NUV||NUEVA UNION- CA|Santa Ana|Magdalena|Aeródromo|9.6639|-73.9265|MAURICIO E. VASQUEZ M.|EL MISMO|290|10|600||196|  173,000||2018-02-04|UL|Privado|1|47|47707
NVA|NVA|BENITO SALAS|Neiva|Huila|Internacional|2.9499|-75.2941|AEROCIVIL|AEROCIVIL|1600|40|||1464|   57,000|1958-02-28||3C|Aerocivil|65289|41|41001
NYY||NUEVA YORK|Espinal|Tolima|Aeródromo|4.1333|-74.9|ALVARO ARAGON|FATOL LTDA.|700|10|2000||1000| 5836,000||2016-11-05|1A|Fumigación||73|73268
OBA||PRAGA|Obando|Valle del Cauca|Aeródromo|4.5889|-75.9681|ANGELA MARIA LEON LEMUS|ARFA S.A.|700|10|2000||3041| 4937,000|||1A|Fumigación|17|76|76497
OCE||EL VIEJO CARMEN|Orocué|Casanare|Aeródromo|4.8978|-71.5681|INVERSIONES LA COLONIA S.A.|LA CEIBA S.A.|685|10|2000||492| 1325,000||2018-06-11|1A|Privado|7|85|85230
OCU||BUENAVISTA|Orocué|Casanare|Aeródromo|4.8441|-71.5079|INVERSIONES LA COLONIA LTDA|LA CEIBA S.A.|900|15|2000||469| 1325,000||2018-06-11|1A|Privado|13|85|85230
OCV|OCV|AGUAS CLARAS|Ocaña|Norte de Santander|Regional|8.3156|-73.3583|AEROCIVIL|AEROCIVIL|1200|30|19000||3850| 2363,000|1971-09-03||2C|Aerocivil|2566|54|54498
OOR||SAN PABLO|Orocué|Casanare|Aeródromo|4.7856|-71.6231|FERNANDO ADOLFO REYES I.|FERNANDO ADOLFO REYES I.|1175|15|3000||472| 3214,000||2015-08-03|1A|Privado|20|85|85230
OPA||RIOPAILA|Zarzal|Valle del Cauca|Aeródromo|4.3174|-76.0975|RIOPAILA CASTILLA S.A.|RIOPAILA CASTILLA S.A.|800|18|5670||3179| 6471,000||2016-12-06|1A|Fumigación||76|76895
ORA||GUARILAQUE|Orocué|Casanare|Aeródromo|4.892|-71.5866|FERNANDO REYES ISAZA|PERENCO COLOMBIA LIMITED|600|18|5000||509| 7235,000||2017-01-03|1A|Privado|1570|85|85230
ORC|ORC|OROCUE|Orocué|Casanare|Aeródromo|4.7903|-71.3484|MUNICIPIO|MUNICIPIO|1480|25|22000||550| 3559,000|||1A|Público|5834|85|85230
ORE||EL CAIMAN|Orocué|Casanare|Aeródromo|4.855|-71.6811|INVERSIONES LOS CEDROS|INVERS. LOS CEDROS|700|16|3500||485| 5960,000|||1A|Privado|19|85|85230
ORH||ORIHUECA|Ciénaga|Magdalena|Aeródromo|10.8238|-74.1626|ELCIDA DIAZ GUERRERO|AEROPENORT LTDA.|720|10|3000||90| 6068,000|||1A|Fumigación|9|47|47189
ORI||ORITO|Orito|Putumayo|Aeródromo|0.6665|-76.8768|ECOPETROL|ECOPETROL|754|23|||1168| 2109,000|||1B|Privado|2231|86|86320
ORJ||LA CULEBRA|Orocué|Casanare|Aeródromo|4.9025|-71.6347|JUAN MAURICIO MEDINA NIÑO|JUAN MAURICIO MEDINA NIÑO|450|10|2000||429| 4938,000|||1A|Privado|17|85|85230
ORO||GUANAPALO|Orocué|Casanare|Aeródromo|5.1741|-71.4299|TOMAS ORTEGA DIAZ|PERENCO COLOMBIA LIMITED|600|18|5000||524| 7235,000||2017-01-03|1A|Privado|1360|85|85230
ORR||EL BORAL|Orocué|Casanare|Aeródromo|4.7384|-71.512|MARIA ANTONIA PAVIA DE R.|MARIA ANTONIA PAVIA DE R.|600|15|3000||442| 3215,000||2015-08-03|1A|Privado|1|85|85230
ORS||SARDINAS|Orocué|Casanare|Aeródromo|4.9858|-71.5057|IGNACIA GUALDRON|PERENCO COLOMBIA LIMITED|600|18|5000||521| 7235,000||2017-01-03|1A|Privado|9320|85|85230
ORU||EL MEDANO|Orocué|Casanare|Aeródromo|4.7621|-71.7184|ALBERTO MENDOZA Y OTRO|EL MISMO|885|15|4950||485|  828,000|2007-02-27||1A|Privado|6|85|85230
ORX||LA CANDELARIA|Orocué|Casanare|Aeródromo|5.1076|-71.6243|ANDRES REYES DIAZ|ANDRES REYES DIAZ|580|12|2000||515| 7087,000|||1A|Privado|5|85|85230
OTU|OTU|REMEDIOS OTU|Remedios|Antioquia|Regional|7.0106|-74.7156|AEROCIVIL|AEROCIVIL|950|12|||2058|  522,000|1968-07-03||1A|Aerocivil|8663| 5| 5604
PAL||PALACIO MUNICIPAL|Medellín|Antioquia|Aeródromo|||||||||||||||2| 5| 5001
PAO||PAOLA - CA|Restrepo|Meta|Aeródromo|4.1683|-73.5156|CONSTRUCCIONES GAMO LTDA|CLUB LA LIBELULA|180|10|500||1112| 2138,000|||UL|Privado||50|50606
PBE|PBE|MORELA|Puerto Berrío|Antioquia|Regional|6.4599|-74.4106|AEROCIVIL|AEROCIVIL|1290|24|||445|  522,000|||2C|Aerocivil|2460| 5| 5579
PBN||NICOLAS E.SOTO|Puerto Boyacá|Boyacá|Aeródromo|||||||||||||||34|15|15572
PBO||PUERTO BOLIVAR|Uribia|La Guajira|Regional|12.2215|-71.9843|CARBONES DEL CERREJON|CARBONES DEL CERREJON|1580|45|||98|  831,000|||3D|Privado|3507|44|44847
PBR||LA PONDEROSA|Paratebueno|Cundinamarca|Aeródromo|||||||||||||||75|25|25530
PCA||PACOA|Pacoa|Vaupés|Aeródromo|0.0667|-71.2083|CORREGIMIENTO|CORREGIMIENTO|800|18|12202||720| 3149,000|||1A|Público|358|97|97511
PCE||CUMARIBO|Puerto Carreño|Vichada|Regional|4.4464|-69.7815|GOBERNACION|GOBERNACION|900|15|26000||547|  407,000|||1A|Público|10527|99|99001
PCH||ALPES -PACHAQ.|Puerto López|Meta|Aeródromo|||||||||||||||1|50|50573
PCJ||PUERTO ALVIRA -CAÑO JABON|San Martín|Meta|Aeródromo|2.9029|-71.7496|JUNTA DE ORNATO|JUNTA DE ORNATO|1100|23|12202||550| 5712,000|||2C|Público|1124|50|50689
PCO||PARACO|Córdoba|Bolívar|Aeródromo|||||||||||||||35|13|13212
PCR|PCR|GERMAN OLANO|Puerto Carreño|Vichada|Regional|6.185|-67.4925|MUNICIPIO|AEROCIVIL|1800|30|||1915|  551,000|1968-07-10||3C|Aerocivil|6271|99|99001
PDE||LA VENGANZA|Paz de Ariporo|Casanare|Aeródromo|6.0226|-70.8976|WALTER F. GOMEZ ACOSTA|EL MISMO|570|12|4000||410||||1A|Privado|70|85|85250
PDR||LA COLONIA|Paz de Ariporo|Casanare|Aeródromo|5.7639|-71.5314|MILCIADES LUNA CUERVO|MUNICIPIO|670|15|2000||620| 6296,000||2012-12-08|1A|Público|12|85|85250
PEI|PEI|MATECAÑA|Pereira|Risaralda|Internacional|4.8128|-75.7393|MUNICIPIO|MUNICIPIO|2020|45|||4417|  522,000|||4D|Público|95765|66|66001
PET||PETROLEA|San José de Cúcuta|Norte de Santander|Aeródromo|8.4972|-72.5967|MINISTERIO DEFENSA|MINISTERIO DEFENSA|840|15|4000||164|  285,000|||2A|Público|4|54|54001
PFO||PUERTO PERALES|Puerto Triunfo|Antioquia|Aeródromo|5.9936|-74.5742|GOBERNACION|GOBERNACION|900|15|7000||475| 2989,000|||2A|Público|1062| 5| 5591
PGA||PRAGA|Obando|Valle del Cauca|Aeródromo|||||||||||||||17|76|76497
PGM||PUERTO GAITAN|Puerto Gaitán|Meta|Aeródromo|4.3031|-72.0855|MUNICIPIO|MUNICIPIO|1380|23|12202||150| 1861,000|||3C|Público|3103|50|50568
PGN||SABANETA|Puerto Gaitán|Meta|Aeródromo|||||||||||||||10|50|50568
PGO||EL RODEO|Puerto Gaitán|Meta|Aeródromo|||||||||||||||80|50|50568
PGP||LA PLATA PUERTO TRUJILLO|Puerto Gaitán|Meta|Aeródromo|3.4873|-71.3759|MUNICIPIO|MUNICIPIO|700|15|4500||623|   15,000|||1A|Público|1377|50|50568
PGT||MORELIA|Puerto Gaitán|Meta|Aeródromo|3.7504|-71.4561|META PETROLEUM LTD.|META PETROLEUM LTD.|1280|24|||617| 1738,000|||2C|Privado|30856|50|50568
PID||PUERTO INIRIDA|Inírida|Guainía|Aeródromo|||||||||||||||347|94|94001
PII||SAN FELIPE|Inírida|Guainía|Aeródromo|||||||||||||||82|94|94001
PIM|LPE|LA PRIMAVERA|La Primavera|Vichada|Aeródromo|5.4943|-70.4212|MUNICIPIO|MUNICIPIO|1740|18|12200||410| 1028,000|||2C|Público|6784|99|99524
PIP|RON|PAIPA JUAN JOSE RONDON|Paipa|Boyacá|Aeródromo|5.7644|-73.1057|AEROCIVIL|AEROCIVIL|1700|30|11400||8205|  984,000|1987-02-02||3C|Aerocivil|154|15|15516
PIV||LA PALESTINA|Pivijay|Magdalena|Aeródromo|10.5897|-74.2951|SAFUCO|SAFUCO|640|10|2000||82| 2612,000||2017-06-12|1A|Fumigación||47|47551
PJS||PAJONALES|Ambalema|Tolima|Aeródromo|4.7644|-74.8287|ORGANIZACIÓN PAJONALES S.A.|ORGANIZACIÓN PAJONALES S.A.|1100|15|4000||850|  390,000|||2A|Fumigación|1|73|73030
PLA|PLA|PLANADAS|Planadas|Tolima|Aeródromo|3.3|-75.7333|MUNICIPIO|EL MISMO|700|11|5670||3700| 3660,000|||1A|Público|16|73|73555
PLD||SAN ISIDRO|Puerto López|Meta|Aeródromo|4.1274|-73.2384|ARMANDO ROMERO PARRA|FARO LTDA.|720|10|2000||787| 2491,000||2017-06-12|1A|Fumigación|8|50|50573
PLE||BELLO HORIZONTE|Puerto López|Meta|Aeródromo|||||||||||||||1|50|50573
PLK||LA ESPERANZA|Puerto Libertador|Córdoba|Aeródromo|||||||||||||||3|23|23580
PLL||PUERTO LLERAS|Puerto Lleras|Meta|Aeródromo|3.2897|-73.3792|MUNICIPIO|MUNICIPIO|940|15|12202||800| 1148,000|||2C|Público|11|50|50577
PLN||PALONEGRO-NORTE|Agustín Codazzi|Cesar|Aeródromo|||||||||||||||1|20|20013
PLO||PALMASOLA|Puerto López|Meta|Aeródromo|4.1272|-73.0766|AVIAL LTDA|AVIAL LTDA.|900|20|2000||820| 3021,000|||1A|Fumigación|3|50|50573
PLP||PUERTO LOPEZ|Puerto López|Meta|Aeródromo|||||||||||||||1|50|50573
PLS||TOBASIA|Puerto López|Meta|Aeródromo|4.0786|-73.0794|FAGAN S. EN C.|FAGAN S. EN C.|730|18|2000||175| 4316,000|||1A|Fumigación|15|50|50573
PLT|PLT|LAS FLORES|Plato|Magdalena|Aeródromo|9.7985|-74.7831|AEROCIVIL|AEROCIVIL|1067|20|3500||86|  876,000|1968-03-08||2A|Aerocivil|298|47|47555
PMM||INGENIO MANUELITA|Palmira|Valle del Cauca|Aeródromo|3.5986|-76.306|INGENIO MANUELITA S.A.|ING.MANUELITA - ASOCAÑA|250|10|500||3366| 2960,000||2015-08-05|1A|Fumigación|2|76|76520
PMO||SAN LUIS|Palermo|Huila|Aeródromo|||||||||||||||1|41|41524
PNQ||PINOQUIA|Puerto Carreño|Vichada|Aeródromo|||||||||||||||6|99|99001
POL||POLONIA|Villavieja|Huila|Aeródromo|3.2667|-75.1681|INCORA LTDA|INCORA|700|13|2000||1350|  697,000|||1A|Público||41|41872
PPN|PPN|GUILLERMO LEON VALENCIA|Popayán|Cauca|Nacional|2.4542|-76.6099|AEROCIVIL|AEROCIVIL|1910|40|||5669|  455,000|1969-05-19||4C|Aerocivil|17602|19|19001
PPT||POTRERITO|Ibagué|Tolima|Aeródromo|4.3261|-75.0785|ARROCERA POTRERITO LASERNA|CRUZ VERDE|600|10|2000||2460| 4508,000||2015-09-03|1A|Fumigación|8|73|73001
PQE||PALANQUERO -GERMAN OLANO|Puerto Salgar|Cundinamarca|Aeródromo|5.4835|-74.6574|FAC|FAC.|2296|20|||553||||4B|Militar|126|25|25572
PRA||LA OPIA|Piedras|Tolima|Aeródromo|4.4484|-74.9623|DANIEL GOMEZ TAMAYO|CRUZ VERDE|630|10|4000||1929| 1839,000||2016-05-03|1A|Fumigación||73|73547
PRB||LA AURORA|Paratebueno|Cundinamarca|Aeródromo|4.3228|-73.2739|LILIANA CORONADO|SERV.AEREO DEL ORIENTE-SAO|800|10|2000||941|  391,000|||1A|Fumigación|1|25|25530
PRC||PUERTO RICO|Puerto Rico|Caquetá|Aeródromo|||||||||||||||27|18|18592
PRE||SAN JOSE DE OCUNE|Puerto Carreño|Vichada|Aeródromo|4.0822|-70.2539|CORREGIMIENTO|CORREGIMIENTO|720|20|5670||400| 2989,000|||1A|Público|1450|99|99001
PRI||PRIMERO DE MAYO|Paratebueno|Cundinamarca|Aeródromo|4.3347|-73.1439|SAUL E. OTALORA DAZA|COMERCIALIZADORA ECO|720|10|2000||709|  250,000|||1A|Fumigación|1|25|25530
PRJ|PCC|PUERTO RICO|Puerto Rico|Caquetá|Aeródromo|1.875|-75.1556|MUNICIPIO|MUNICIPIO|948|10|12202||750| 3660,000|||2A|Público|27|18|18592
PRL||NATALIA|Puerto López|Meta|Aeródromo|4.0698|-73.1805|MOLINOS INDUGRANOS|AEROTEC LTDA.|800|10|2000||715| 4945,000|||1A|Fumigación||50|50573
PRO||PORORO|Agustín Codazzi|Cesar|Aeródromo|9.935|-73.2687|PALMAS PORORO SAS|PALMAS PORORO SAS|900|18|6000||328|  276,000|||1A|Privado|6|20|20013
PRR||JIBICI|Cumaribo|Vichada|Aeródromo|4.8897|-68.3582|JORGE E. PINZON K.|JORGE E. PINZON K.|1100|15|5000||368| 5921,000||2015-11-07|1A|Privado|7|99|99773
PRT||PALMARITO|Yopal|Casanare|Aeródromo|||||||||||||||1|85|85001
PRU||ESTELIDA ARIGUANEY|Puerto Carreño|Vichada|Aeródromo|||||||||||||||1|99|99001
PSO|PSO|ANTONIO NARIÑO|Pasto|Nariño|Nacional|1.3964|-77.291|AEROCIVIL|AEROCIVIL|2177|40|||5896|   95,000|1957-04-24||4C|Aerocivil|23045|52|52001
PTA||PALESTINA|Pivijay|Magdalena|Aeródromo|||||||||||||||1|47|47551
PTC||LA VICTORIA|Cumaribo|Vichada|Aeródromo|3.8281|-70.5893|INSPECCION POLICIA|MUNICIPIO|750|10|2000||426| 4087,000|||1A|Público|1821|99|99773
PTE||LA REFORMA|Puerto López|Meta|Aeródromo|4.0625|-73.1483|SOCIEDAD DE ACTIVOS|FARO LTDA.|940|10|2000||940| 5961,000|||1A|Fumigación|28|50|50573
PTL|PTX|CONTADOR|Pitalito|Huila|Regional|1.8573|-76.0856|AEROCIVIL|AEROCIVIL|1500|19|||4221| 2090,000|1974-10-22||2B|Aerocivil|1251|41|41551
PTO||PIRIRI|Puerto Gaitán|Meta|Aeródromo|||||||||||||||30|50|50568
PTS||LA ESPERANZA|Puerto Salgar|Cundinamarca|Aeródromo|||||||||||||||7|25|25572
PTW||GEMELOS DORADOS|Puerto Wilches|Santander|Aeródromo|7.2466|-73.7723|MILTON A. SALAZAR REY|EL MISMO|850|15|5670||314| 6473,000|2013-11-19|2017-01-09|1A|Privado|242|68|68575
PTZ||YATAROS DE MELUA|Puerto López|Meta|Aeródromo|||||||||||||||1|50|50573
PUE||PUERTO RICO|Puerto Rico|Meta|Aeródromo|2.9419|-73.2039|MUNICIPIO|MUNICIPIO|1080|15|12202||800| 4022,000|||2A|Público|469|50|50590
PUL||GAVIOTAS|Fuente de Oro|Meta|Aeródromo|3.4633|-73.6022|MISAEL RODRIGUEZ CASTAÑEDA|FAGA LTDA|720|10|2000||987|   76,000|||1A|Fumigación|62|50|50287
PUU|PUU|TRES DE MAYO|Puerto Asís|Putumayo|Nacional|0.5054|-76.5008|AEROCIVIL|AEROCIVIL|1485|25|33112||809|  115,000|1965-09-02||3C|Aerocivil|18730|86|86568
PVA|PVA|EL EMBRUJO|Providencia|San Andrés islas|Nacional|13.3572|-81.3579|AEROCIVIL|AEROCIVIL|1050|18|||10|  338,000|1969-04-23||2B|Aerocivil|23333|88|88564
PVO||EL ALGODONAL|Pueblo Nuevo|Córdoba|Aeródromo|||||||||||||||35|23|23570
PWI||PUERTO WILCHES|Puerto Wilches|Santander|Aeródromo|||||||||||||||18|68|68575
PWT||PUERTO WILCHES|Puerto Wilches|Santander|Aeródromo|||||||||||||||18|68|68575
PZA|PZA|PAZ DE ARIPORO|Paz de Ariporo|Casanare|Aeródromo|5.8819|-71.883|AEROCIVIL|AEROCIVIL|1506|20|29000||878| 1591,000|1972-06-06||2B|Aerocivil|772|85|85250
PZI||VENECIA DE LAS GUAMAS|Paz de Ariporo|Casanare|Aeródromo|5.6882|-70.7378|MAURICIO MEDINA NIÑO|MAURICIO MEDINA NIÑO|570|15|2000||404| 5524,000||2017-12-04|1A|Privado|126|85|85250
PZR||CHAPARRITO|Paz de Ariporo|Casanare|Aeródromo|5.56|-71.2172|HERNAN BRAYDI|PERENCO COLOMBIA LIMITED|840|25|5670||450| 5603,000|||2B|Privado|5697|85|85250
QPM||FURATENA|Quípama|Boyacá|Aeródromo|5.5275|-74.1869|MUNICIPIO|MUNICIPIO|860|16|5670||3850|  390,000|||2B|Público|150|15|15580
QQA||VILLANUEVA|Villanueva|Casanare|Aeródromo|||||||||||||||2140|85|85440
RAV|RAV|CRAVO NORTE|Cravo Norte|Arauca|Aeródromo|6.3167|-70.2111|AEROCIVIL|AEROCIVIL|1122|18|12202||336|  343,000|1968-05-03||3C|Aerocivil|3504|81|81220
RCH|RCH|ALMIRANTE PADILLA|Riohacha|La Guajira|Internacional|11.5262|-72.9267|MUNICIPIO|AEROCIVIL -ORIENTE S.A.S.|1900|30|||43|  187,000|1987-02-02||4C|Aerocivil|6241|44|44001
RCN||RANCHO NARE|Puerto López|Meta|Aeródromo|||||||||||||||4|50|50573
RDN||RONDON|Arauca|Arauca|Aeródromo|6.2872|-71.1019|AEROCIVIL|MUNICIPIO -COMODATO|1300|30|12202||480| 1261,000|||2B|Aerocivil|1657|81|81001
RGR||RANCHO GRANDE|Ibagué|Tolima|Aeródromo|4.4419|-75.1167|ZORROZA Y SUAREZ LTDA.|CRUZ VERDE|760|10|2000||2877| 4508,000||2015-09-03|1A|Fumigación|18|73|73001
RVE|RVE|COLONIZADORES|Arauca|Arauca|Regional|6.9504|-71.8562|ECOPETROL|AEROCIVIL|800|30|||678| 4158,000|1983-09-25||3C|Aerocivil|6315|81|81001
SAA||SANTA ANA|Orocué|Casanare|Aeródromo|5.0875|-71.7902|FERNANDO REYES ISAZA Y CIA. S en C|FERNANDO REYES ISAZA Y CIA. S en C|600|15|3000||538| 5962,000|||1A|Privado|46|85|85230
SAD||EL BALSAMO|San Diego|Cesar|Aeródromo|||||||||||||||1|20|20750
SAM||SANTANA|Piedras|Tolima|Aeródromo|4.4083|-75.0244|MARIA CASAS MATIZ|CRUZ VERDE|640|10|2000||2290| 1735,000|||1A|Fumigación||73|73547
SAR||EL BOSQUE|San Alberto|Cesar|Aeródromo|||||||||||||||3|20|20710
SAS||SAN CARLOS|Maní|Casanare|Aeródromo|5.0096|-72.3237|WILSON GAMEZ M.|AVIOCOL LTDA.|850|10|3000||991| 5187,000||2016-10-03|1A|Fumigación||85|85139
SBD||LA MAGDALENA|Sabana de Torres|Santander|Aeródromo|||||||||||||||414|68|68655
SBN||ISCUANDE|Santa Bárbara|Nariño|Aeródromo|2.4483|-77.9813|MUNICIPIO|MUNICIPIO|540|15|2300||150| 1490,000|||1A|Público||52|52696
SBT|SNT|LAS CRUCES|Sabana de Torres|Santander|Aeródromo|7.3833|-73.5055|MUNICIPIO|MUNICIPIO|1202|20|12202||459| 9409,000|||2B|Público|2335|68|68655
SCA||SUESCUN|San Carlos de Guaroa|Meta|Aeródromo|||||||||||||||2|50|50680
SCG||EL PRADO|San Carlos de Guaroa|Meta|Aeródromo|||||||||||||||4|50|50680
SCM||LA CABAÑA|San Carlos de Guaroa|Meta|Aeródromo|||||||||||||||1|50|50680
SCS||SAN CARLOS DEL PLANAS|Santa Rosalía|Vichada|Aeródromo|4.0333|-70.8333|MUNICIPIO|MUNICIPIO|416|20|2500||400| 3660,000|||1A|Público|7|99|99624
SCY||SAN JERONIMO|Flandes|Tolima|Aeródromo|4.1932|-74.8615|ELVIRA PINEDA VERGARA|SANIDAD VEGETAL CRUZ|800|10|2000||1030| 4217,000|||1A|Fumigación|1|73|73275
SDA||SAN AGUSTIN- C.A.|Saldaña|Tolima|Aeródromo|3.9451|-74.9372|NELLY DE ESCOBAR|ERIBERTO ESCOBAR A.|300|10|600||1017| 1442,000|||UL|Privado||73|73671
SDG||LA MANSION|San Carlos de Guaroa|Meta|Aeródromo|||||||||||||||1|50|50680
SFA||SANTAFE DE ANTIOQUIA|Santa Fé de Antioquia|Antioquia|Aeródromo|||||||||||||||61| 5| 5042
SFC||SAN FRANCISCO|Garzón|Huila|Aeródromo|||||||||||||||3|41|41298
SFL||SAN FELIPE|Bugalagrande|Valle del Cauca|Aeródromo|||||||||||||||18|76|76113
SGG||LA FLORIDA|San Carlos de Guaroa|Meta|Aeródromo|3.912|-73.2956|GILBERTO LOPEZ S.|FARO LTDA.|740|10|2000||771| 1579,000|||1A|Fumigación|2|50|50680
SGL||SAN GIL - LOS POZOS|San Gil|Santander|Aeródromo|6.5812|-73.128|MUNICIPIO|MUNICIPIO|1240|15|5670||5577|  677,000|||3A|Público|418|68|68679
SGT||SAN GERMAN|Natagaima|Tolima|Aeródromo|||||||||||||||50|73|73483
SGU||YAGUARITO|San Carlos de Guaroa|Meta|Aeródromo|3.8817|-73.3403|ACEITES MANUELITA S.A.|ACEITES MANUELITA S.A.|1000|14|5670||837| 4507,000|||2A|Fumigación|83|50|50680
